id_student,id_race,name,email,gender,address
1,2,Norene Fluger,nfluger0@sourceforge.net,F,4513 8th Place
2,4,Babs Sivior,bsivior1@ihg.com,M,05 Mcguire Alley
3,10,Yulma Measom,ymeasom2@kickstarter.com,F,21231 Caliangt Place
4,8,Dasie Lotherington,dlotherington3@google.co.uk,F,6197 Evergreen Court
5,3,Conway Drydale,cdrydale4@businesswire.com,M,2646 Maple Wood Park
6,3,Kaile Beckhurst,kbeckhurst5@zdnet.com,M,07 Welch Hill
7,1,Moyra Shuter,mshuter6@usda.gov,M,4705 Prairie Rose Avenue
8,1,Sela McFeate,smcfeate7@sogou.com,M,18177 Holy Cross Place
9,9,Devan Girardengo,dgirardengo8@cocolog-nifty.com,F,78669 Dottie Avenue
10,5,Katie Winckworth,kwinckworth9@php.net,F,843 Grasskamp Junction
11,10,Sharla Gidney,sgidneya@scribd.com,M,2589 Iowa Park
12,8,Danella Babonau,dbabonaub@paginegialle.it,F,42378 Mitchell Plaza
13,5,Joby Torrijos,jtorrijosc@canalblog.com,F,94562 Onsgard Terrace
14,2,Norbie Masi,nmasid@godaddy.com,F,2 Forest Run Road
15,6,Joelie Alliberton,jallibertone@alexa.com,M,9 Donald Terrace
16,3,Grata Aspinwall,gaspinwallf@cpanel.net,F,676 Memorial Avenue
17,7,Leonid Wales,lwalesg@quantcast.com,M,654 Elgar Park
18,9,Adelle Spafford,aspaffordh@cbslocal.com,M,4260 Jenifer Way
19,6,Georas Swatradge,gswatradgei@engadget.com,M,36 Ridge Oak Alley
20,2,Philippine Vaney,pvaneyj@webmd.com,F,267 Corscot Plaza
21,8,Alameda Beedon,abeedonk@oakley.com,M,92251 Bluestem Trail
22,4,Wernher Wornham,wwornhaml@theatlantic.com,M,9 Spohn Trail
23,3,Webster Levick,wlevickm@noaa.gov,M,207 Red Cloud Point
24,10,Sarita Allibon,sallibonn@hp.com,M,3 Ohio Junction
25,4,Federico Soden,fsodeno@deviantart.com,F,07083 Thierer Terrace
26,4,Doralia Mingame,dmingamep@symantec.com,F,14038 Dapin Point
27,10,Husain Nelsen,hnelsenq@dmoz.org,F,6852 Clove Court
28,9,Selia Goudge,sgoudger@barnesandnoble.com,M,31995 Goodland Alley
29,3,Bettye Goodenough,bgoodenoughs@house.gov,M,9321 Michigan Parkway
30,5,Annie Crolly,acrollyt@google.com.hk,F,17636 Riverside Terrace
31,4,Alisun Clifton,acliftonu@4shared.com,F,472 Truax Alley
32,3,Darryl Johansen,djohansenv@miitbeian.gov.cn,M,22 Steensland Way
33,7,Aloysia Beedon,abeedonw@sitemeter.com,F,0106 Killdeer Center
34,6,Nikki Silcocks,nsilcocksx@netscape.com,M,4 Ridge Oak Junction
35,7,Bobina Yabsley,byabsleyy@mac.com,F,9 Independence Point
36,10,Benoit Okenden,bokendenz@moonfruit.com,F,676 Basil Hill
37,6,Erinn Sidaway,esidaway10@reverbnation.com,M,35 Twin Pines Pass
38,3,Lenna Hurtic,lhurtic11@bizjournals.com,F,53 Evergreen Point
39,6,Dougy Phinnessy,dphinnessy12@state.tx.us,M,0220 Brickson Park Crossing
40,3,Ilene Ansteys,iansteys13@umn.edu,M,901 Ilene Street
41,9,Claus Jarret,cjarret14@umich.edu,M,3087 Sachs Junction
42,9,Efrem Andrichuk,eandrichuk15@adobe.com,F,8 Fairfield Drive
